csv trait,trait name
gamer,360 No Scope
plants,Aloe You Vera Much
astro_bean,AstroBean
science_goggles,Atomic Aura
rainbow_boombox,Bass in Your Face
toy_bricks,Brick By Brick
rainbow_bubble_goggles,Bubble Visionary
cosmic,Cosmic Guardian
full_send_maverick,Full Send Maverick
funky_fresh,Funky Fresh
fur_the_win,Fur The Win
surfer,Get Pitted
gold_member,Golden Fever
gradient_lover,Gradient Gatherer
grayscale_seeker,Grailscale Hunter
great_stacheby,Great 'Stacheby
gud_meat,Gud Meat
hail_mary_heroes,Hail Mary Heroes
pothead,High Vibes
rainbow_visor,Hue Got This
lamp,I Love Lamp
ladies_night,Ladies Night
robot_lover,Love at First Byte
stone,Marble Potential
necks_level,Necks Level
no_face_no_problem,"No Face, No Problem"
checkmate,No Pawn Intended
nounish_vibes,Nounish Vibes
any_gvc,Official Citizen of Vibetown
captain,Oh Captain My Captain
one_of_one,One of One
party_in_the_back,Party In The Back
pepe,Pepe Posse
plastic_lover,Plastic Pioneer
poker_face,Pocket Rockets
billiards,Rack Em' Up
rainbow_citizen,Rainbow Maxi
seas_the_day,Seas The Day
doge,Shiba Syndicate
showtime,Showtime
sir_vibes_a_lot,Sir Vibes-a-lot
shower,Soaked N' Stoked
astro_balls,Stellar Spheres
straw_man,Straw Man
sweettooth,Sugar Rush
suited_up,Suited Up
super_rare,SuperRare
tanks_a_lot,Tanks A Lot
varsity_vibes,Varsity Vibes
ranger,Vibe Ranger
vibefoot_fan_club,Vibefoot Fan Club
baller,Vibetown Baller
king,Vibetown Royalty
vibetown_social_club,Vibetown Social Club
electric_rings,Watt's Up
