token_id,gender,background,background_type,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url,color_group,color_count,badge1,badge2,badge3,badge4,badge5
1,Male,Gray,Gray,Plastic Armor Black,Clothed,Plastic Armor,Black,Aviator Sunglasses Clear Glass,Glasses,Aviator Sunglasses,Clear Glass,Mullet Glass,Hair,Mullet,Glass,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/1.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/1,Grayscale,1,grayscale_seeker,any_gvc,ranger,party_in_the_back,
2,Female,Purple,Purple,Short Sleeve Button Up Psychedelic Blue,Clothed,Short Sleeve Button Up,Psychedelic Blue,Tiny Smile,Expression,Tiny Smile,No Color,Female Ponytail Chrome,Hair,Female Ponytail,Chrome,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/2.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/2,Red Blue Purple,1,any_gvc,robot_lover,ladies_night,,
3,Male,Cream,Cream,Turtleneck Mint Chrome,Clothed,Turtleneck,Mint Chrome,Snowboard Goggles Pink,Glasses,Snowboard Goggles,Pink,Manbun Shiny Mint,Hair,Manbun,Shiny Mint,Plastic Pink,Plastic,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/3.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/3,Red Pink Mint,2,any_gvc,plastic_lover,necks_level,,
4,Male,Cream,Cream,Hooded Jacket Pink,Clothed,Hooded Jacket,Pink,Library Glasses Black,Glasses,Library Glasses,Black,Top Messy Pink,Hair,Top Messy,Pink,Gradient Blue Purple Pink,Gradient,Blue Purple Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/4.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/4,Pink Purple Mint,2,any_gvc,gradient_lover,vibetown_social_club,,
5,Male,Red,Red,Letterman Jacket Black,Clothed,Letterman Jacket,Black,Beard Red,Facial Hair,Beard,Red,Mullet Red,Hair,Mullet,Red,Gradient Yellow Yellow,Gradient,Yellow Yellow,3,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/5.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/5,Warms,3,any_gvc,gradient_lover,varsity_vibes,great_stacheby,party_in_the_back
6,Male,Mint,Mint,Short Sleeve Button Up Funk Grid Black,Clothed,Short Sleeve Button Up,Funk Grid Black,80s Glasses Candy Ice,Glasses,80s Glasses,Candy Ice,Bowl Cut Shiny Mint,Hair,Bowl Cut,Shiny Mint,Plastic Mint,Plastic,Mint,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/6.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/6,Red Pink Mint,4,any_gvc,plastic_lover,,,
7,Male,Yellow,Yellow,Puffy Jacket Cream,Clothed,Puffy Jacket,Cream,Snowboard Goggles Red,Glasses,Snowboard Goggles,Red,Rainbow Headband White Headphones,Headgear,Headphones,Rainbow White,Plastic Red,Plastic,Red,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/7.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/7,Warms,2,any_gvc,plastic_lover,funky_fresh,,
8,Female,Pink,Pink,Retro Windbreaker White,Clothed,Retro Windbreaker,White,Happy,Expression,Happy,No Color,Female Bun Black,Hair,Female Bun,Black,Gradient Dark Blue Light Blue,Gradient,Dark Blue Light Blue,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/8.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/8,Blue Purple Pink,1,any_gvc,gradient_lover,ladies_night,,
9,Male,Mint,Mint,Puffy Jacket Mint,Clothed,Puffy Jacket,Mint,Library Glasses Gold,Glasses,Library Glasses,Gold,Bowl Cut Purple,Hair,Bowl Cut,Purple,Gradient Lime Seafoam,Gradient,Lime Seafoam,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/9.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/9,Pink Purple Mint,2,any_gvc,gradient_lover,,,
10,Male,Yellow,Yellow,Hooded Jacket Gold,Clothed,Hooded Jacket,Gold,Happy,Expression,Happy,No Color,Afro Red,Hair,Afro,Red,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/10.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/10,Warms,2,any_gvc,gradient_lover,showtime,,
11,Male,Blue,Blue,Hooded Jacket Pink,Clothed,Hooded Jacket,Pink,80s Glasses Rainbow,Glasses,80s Glasses,Rainbow,Afro Shiny Black,Hair,Afro,Shiny Black,Plastic Pink,Plastic,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/11.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/11,Blue Purple Pink,2,any_gvc,plastic_lover,vibetown_social_club,,
12,Male,Blue,Blue,Letterman Jacket Black,Clothed,Letterman Jacket,Black,Calm Smile,Expression,Calm Smile,No Color,Black Headband Black Headphones,Headgear,Headphones,Black Black,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/12.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/12,Warms,2,any_gvc,gradient_lover,varsity_vibes,funky_fresh,
13,Male,Mint,Mint,Driving Jacket Yellow,Clothed,Driving Jacket,Yellow,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Afro Rainbow,Hair,Afro,Rainbow,Gradient Lime Yellow,Gradient,Lime Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/13.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/13,Lime Yellow,1,any_gvc,gradient_lover,,,
14,Male,Mint,Mint,Leather Jacket White,Clothed,Leather Jacket,White,,Special,,,Astronaut White,Special,Astronaut White,Astronaut White,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/14.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/14,Red Pink Mint,2,any_gvc,gradient_lover,astro_balls,no_face_no_problem,
15,Male,Cream,Cream,Pilot Jacket Black,Clothed,Pilot Jacket,Black,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Mohawk Rainbow,Hair,Mohawk,Rainbow,Gradient Lime Seafoam,Gradient,Lime Seafoam,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/15.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/15,Red Pink Mint,1,any_gvc,gradient_lover,full_send_maverick,,
16,Male,Purple,Purple,Tank Top Purple,Clothed,Tank Top,Purple,Mischevious,Expression,Mischevious,No Color,Top Messy Mint,Hair,Top Messy,Mint,Gradient Magenta Purple Blue,Gradient,Magenta Purple Blue,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/16.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/16,Pink Purple Mint,2,any_gvc,gradient_lover,,,
17,Male,Pink,Pink,Overalls Shirt Lime Purple,Clothed,Overalls Shirt,Lime Purple,Circle Glasses Black Black,Glasses,Circle Glasses,Black Black,Comb Over Lime,Hair,Comb Over,Lime,Gradient Lime Seafoam,Gradient,Lime Seafoam,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/17.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/17,Lime Mint Purple,2,any_gvc,gradient_lover,,,
18,Male,Purple,Purple,Hoodie Purple,Clothed,Hoodie,Purple,Tiny Smile,Expression,Tiny Smile,No Color,Mohawk Black,Hair,Mohawk,Black,Gradient Lime Seafoam,Gradient,Lime Seafoam,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/18.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/18,Pink Purple Mint,2,any_gvc,gradient_lover,,,
19,Male,Mint,Mint,Overalls Shirt Black,Clothed,Overalls Shirt,Black,Glass Hexagon,Special,Glass Hexagon,Glass Hexagon,Slick Back Gold,Hair,Slick Back,Gold,Gold,Gold,Gold,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/19.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/19,Lime Yellow,2,gold_member,any_gvc,no_face_no_problem,,
20,Male,Pink,Pink,Hoodie Pink,Clothed,Hoodie,Pink,Neutral,Expression,Neutral,No Color,Comb Over Mint,Hair,Comb Over,Mint,Gradient Magenta Purple Blue,Gradient,Magenta Purple Blue,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/20.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/20,Pink Purple Mint,2,any_gvc,gradient_lover,,,
21,Male,Blue,Blue,Driving Jacket Rainbow,Clothed,Driving Jacket,Rainbow,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Middle Part Shiny Red,Hair,Middle Part,Shiny Red,Plastic Pink,Plastic,Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/21.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/21,Red Pink Mint,1,any_gvc,plastic_lover,,,
22,Male,Pink,Pink,Tank Top Purple,Clothed,Tank Top,Purple,Robo Visor Dots Full,Glasses,Robo Visor,Dots Full,Short Purple,Hair,Short,Purple,Gradient Blue Purple Pink,Gradient,Blue Purple Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/22.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/22,Pink Purple Mint,2,any_gvc,gradient_lover,,,
23,Male,Mint,Mint,Suit Glass,Clothed,Suit,Glass,Meditation,Expression,Meditation,No Color,Bowl Cut Glass,Hair,Bowl Cut,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/23.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/23,Rainbow Glass,1,rainbow_citizen,any_gvc,suited_up,,
24,Male,Mint,Mint,Short Sleeve Button Up White,Clothed,Short Sleeve Button Up,White,Wink,Expression,Wink,No Color,Middle Part Rainbow,Hair,Middle Part,Rainbow,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/24.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/24,Lime Yellow,1,any_gvc,gradient_lover,,,
25,Male,Purple,Purple,Tshirt Graphic Main Squeeze,Clothed,Tshirt,Graphic Main Squeeze,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Mullet Lime,Hair,Mullet,Lime,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/25.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/25,Lime Yellow,1,any_gvc,gradient_lover,party_in_the_back,,
